reviewText,overall
great for my aunt,5.0
Love starbucks.,5.0
Was a great gift.  They loved it.,5.0
"Yes, it arrived quickly and worked perfectly. Very pleased.",5.0
yummy,5.0
greatly appreciated,5.0
I love coffee so thanks.,5.0
great gift,5.0
"Good buy, worked as expected.",5.0
excelent,5.0
I've gotten many of these at this point. They always arrive quickly and always have the correct balance.,5.0
Nice gift card,5.0
Prefect gift for my daughter. She goes there all the time and loves the holiday look so we got her this. Came quick with no problems,5.0
Great gift for Starbuck lovers!,5.0
"It is what it says it is, a gift card to Starbucks. No problems using the card. Giving it 5 stars seems kind of silly, but I don't know that it would be fair to give it anything less.",5.0
Great gift to give!,5.0
Awesome,5.0
Great,5.0
Great product from a great seller,5.0
perfect gift,5.0
Daughter Loved it,5.0
with all the gift cards I purchased at Amazon we all can enjoy Starbucks drinks thanks amazon for coming on time!,5.0
Got it quickly. Used without any problems.,5.0
My granddaughter really loves Starbucks tea. Was very happy with her gift.,5.0
Just for my parents,4.0
as described,5.0
Good quality and is expected from the description,5.0
Gift,5.0
exactly what I wanted,5.0
A fun gift to give,5.0
Gift,5.0
My girlfriend enjoyed it.,5.0
Perfect for those on the go,5.0
My BIL loves Starbucks.  He's easy to buy for -- gold toe socks and a Starbucks card.  Can't ask for a better BIL than that.  The easiest person in the family when it comes to giving someone gifts.,5.0
Always happy when people get this,5.0
"blahblahblah, unless it doesn't upload with cash, there be no complaints.
should be kool MONEY WAS THERE AND ON OTHER STARBUCK GIFTCARDS RECENTLY BOUGHT",5.0
"Another gift card for an upcoming bd!!! :) I know, it's a super easy purchase. I just wanted to make sure recipient was able to have alittle drink of whatever he wanted at Starbucks. I don't really buy alot at Starbucks,  but I know people who do. It's just a convient, gift because their located in so many cities, and people seem to really like Starbucks. Happy w purchase would repurchase again! :)",4.0
great,5.0
Great item!,5.0
who doesn't love this as a gift.,5.0
Good stocking stuffer,5.0
great,5.0
what's not to love,5.0
<3,5.0
Can't go wrong with this as a stocking stuffer,5.0
Gift card just as expected,5.0
love it,5.0
Great coffee,5.0
Works as advertised. Great Buy.,5.0
nice,5.0
Always a great gift to give and receive,5.0
"This was a gift for my niece, and she loves it.",5.0
Happy daughter on cold days,5.0
Daughter loved it.,5.0
Great product with fast delivery,5.0
"Bought it as a gift, The recipient loved it.",5.0
TY,5.0
Great Gift,5.0
Best coffee ever,5.0
Card worked great and now I have plenty of caffeine in my life.,5.0
Great....thanks again!,5.0
The best way to gift :) just make sure to check the balance prior to giving it as mistakes can be made with card balances. Otherwise great idea for my friends as I purchased a few of them for birthdays nothing like the gift of coffee and teas from a good company.,5.0
"caramel, mocha frappachino please venti, no whip",5.0
Got this for my niece and she loves it!!!,5.0
So glad Amazon offers this gift card!!,5.0
Great saving on Amazon and recommend to visit again.,5.0
Perfect,5.0
Good...!!!,5.0
its just a gift card,5.0
fast delivery and card worked,5.0
What can you say it's a gift card - Shipping was fast.,5.0
recipient was thrilled to receive!,5.0
"How great it is to have a Starbucks Card so we can zip into Starbucks and get a coffee and sometimes a little sweet treat to get our mornings started off right..... it is great to know we have these cards as sometimes it can get long between paydays and we can always say, ""Hey, we can use our Starbucks card and we aren't as bad off as we thought until payday rolls around again"".",5.0
"Cafe Au Lait, Cappacino, Mocha Latter, Chai Tea, black coffee!! All these scrumptious drinks & more (including bake goods) are available from morning thru evening every day! A gift card from Starbucks is always appreciated and used!",5.0
Wished I had got one. O well maybe next year. Great idea for stocking stuffers. Good gift for the hard to please,5.0
Love to get this gift card for relatives and friends.  Who can't find something tasty at Starbucks and it's fun to pop in there to treat yourself during the day.  Your relatives and friends will think of you each time they use the card.  Good to remind them to register the card with Starbucks in case it gets lost.  I got this for my mail lady as a thank you for bringing all of those Amazon boxes up to the door in the winter and rain.  It's a great gift to send to a loved one.,5.0
It's Starbucks.  What else needs to be said.,5.0
You just can't go wrong with a Starbucks gift card as a gift!!! I love to give them and I love to to receive them. We all love Starbucks. They have something for everyone.,5.0
Gave to family members (and myself) as they love coffee.  The fact that some are located adjacent to Barnes and Noble influenced me as that is a great combination.,5.0
A great card for something I enjoy and I registered it for great discounts and deals. I can reload it at any time which is a plus!,5.0
Love Starbucks one of my favorite places to go to have coffee.  Always a great gift to give or receive,4.0
This product was as described and will be very much appreciated on Christmas. If you have a Starrbucks lover in your family this will be a great hit.,5.0
Quick delivery.  Exactly what I was looking for,5.0
"If a gift card has the balance you purchased, I guess it gets five stars!",5.0
Fast shipping and great gift!,5.0
great gift.,5.0
This was a Christmas gift. The recipient(s) were/are please with this. I would purchase again. I would recommend.,5.0
love the movies,5.0
Gift for Grandchildren for Christmas...Know they will enjoy.,5.0
Nice!,5.0
"20% off, good value for a movie gift card. nothing fancy or too much too say. it's a gift card...",4.0
great gift,5.0
"Don't even have to go to the store to get this!  And who doesn't love a movie?  Great gift card, came within two days.",5.0
Awsome,5.0
all good,5.0
I bought this for Christmas and my brother reported that it worked as expected,5.0
"This was part of a graduation gift to my son who was joining the Navy. Instead of the traditional gifts, I got him a bunch of gift cards since he can't any personal possessions with him. These cards allowed him to enjoy going out with his friends and girlfriend for that last month before leaving for boot camp.",5.0
"I was lucky to buy this for $20 as part of the ""Today's Deals"" so I got an extra $5 on the card. The card arrived really fast. I read some reviews that said they received cards with 0 credit on them. I logged on to Regal's site and verified I had a $25 balance so I'm happy. I go to Regal every week so this card helps me to get a free soda with the $5 I saved off of the original price. I hope they do this deal again soon. Too bad you can only buy 1 card at the special price.",5.0
like,5.0
I will take a $50 gift card for $40 any day!!! Basically $10 for free. Love it.,5.0
GREAT,5.0
Everyone loves movies and popcorn,5.0
Delivered as expected!,5.0
They work,5.0
This is my standby for a gift for just about anyone!,5.0
Bought for our parents - they love these because you can use these at the theater for tickets and concession.  You don't have to book online!  Our parents prefer to go to the theater and make their decisions.,5.0
It's just a gift card.,5.0
Was a gift for a movie lover,5.0
recipient was thrilled to receive!,5.0
Nice give and great seller.,5.0
Great gift,5.0
its' a gift card what can you say?,5.0
Ok,3.0
So nice not to have to go to the mall,5.0
Item came loaded and ready to use. Item as described.,5.0
Xmas stocking stuffer. Loved it,5.0
Great for someone who is always going to the movies,5.0
great gift,5.0
Made a great Christmas gift,5.0
"MY BEAUTIFUL DAUGHTER WILL BE HAPPY WITH IT, WAS A LITTLE LATE CHRISTMAS PRESENT.....",5.0
Gift,5.0
It's a gift card purchased on amazon.  What else can you say about it?  It's a gift card and it works.,5.0
I purchased this gift card along with a restaurant gift card for my sister's birthday.  That way she could get away from the house and kids with her new husband for a little while.,5.0
Amazon carries pretty much everything that you need. As is described; nothing more to say. Will use it for what intended for.,5.0
a good gift card,5.0
good,5.0
"This is a great gift for our teenage niece.  I also love that I don't have to battle people at the mall, and can order it via Amazon.",5.0
Love gift cards for gifts!,5.0
Great gift idea!,5.0
It was a gift. She bought jeans that she loves.,5.0
they loved it!!,5.0
Staisfied,5.0
"What can you say about a gift card.  Used two cards, four of us ate, for $40.00.  The food was great, the service not so much.",5.0
"My brother, son, and husband were quite pleased to get one of these.  Will order these as gifts again next year.",5.0
Holiday gift,5.0
Given as gift and friend loved it.,5.0
Its a gift card.,5.0
My nieces loved seeing Hidden Figures with this movie card I gave them!,5.0
"called to make sure $ was on card upon arrival, so far so good.",5.0
This gift will work for a six year old little girl.,5.0
This is a good gift idea for someones birthday or for a holiday.,5.0
Haven't had a problem with these. I've used them both on the website and in store.,5.0
I got two each of these for my daughter and son-in-law. They love movies and don't get out as often as they would like.,5.0
Perfect! kathy,5.0
Using the ticket for many things.,5.0
Good product!,5.0
Good Product;,5.0
all good,5.0
"I got this gift card on a deal of the day for $40

I love ae and it was a great buy!",5.0
Perfect for my little friend! Build a Bear is awesome!,5.0
fast delivery and card worked,5.0
"Convenient. Bought all my gift cards for the holiday in one swoop. I'm a Prime member, so I got in 2 days. Being I work long hours, Amazon makes shopping convenient for me.",5.0
Great Deal,5.0
Great Deal,5.0
You can never go wrong with a gift card for a place they go...,4.0
What a rip off! This deal of the day started and within 1 minute it was sold out. I added it to my cart and before I could even hit the checkout it was sold out. Where they only offering 5 gift cards as the deal of the day? I clicked add to cart within 30 seconds of the deal starting and now can't buy it. Thanks for nothing. I was waiting 1 hour for this deal to start.,1.0
loved it,5.0
5 dollars off and used for a gift.  We love deals!,5.0
Excellent Christmas gift,5.0
"This review is for the Brinker Gift Card that can be used at any of the 4 restaurants: Chili's, Macaroni Grill, Maggianos, or On the Border. These are great for gifts because recipient has a choice of which restaurant to use the gift card at. We usually go to Chilis & Maggianos at least once a month. Tip: Look for gift card promotions (I've seen some on Amazon Lightening Deals & deals towards the Holidays) & check the restaurants websites for promos too for joining their newsletter/ frequent guest programs. Chilis & Maggianos email coupons occasionally when you sign up for their newsletters, & these can be combined along with using these gift cards.",5.0
What's to say gift,5.0
Good place for a gift card for a friend's birthday.,4.0
"Great value.  Get $50 for $40 at places you may normally eat.  I like this gift card because not only did I save $10 but I got to choose from Chili's, Maggianos, On the Border, or Macaroni Grill.  We do have all of them where I live so I used some at Chili's and finished it at Maggianos.  YUM!",5.0
Perfect gift option for the person who always eats out,5.0
"Ordered two of these for our 3  year old and 6 year old Granddaughters. They had a great time going to the Build - A - Bear store and picking out their animal, outfits, and accessories. The 6 year old settled on a traditional bear, while the 3 year old opted for a bunny rabbit with dresses and other accessories. It appears that $50 is about the right amount of money to put on the card(yes, that seems expensive to me, but what do I know about these things). Fun gift for the kids when you don't know what to buy them.",5.0
Good Gift,5.0
Love the variety of cards available at Amazon.,5.0
Great deal and granddaughters love BaB,5.0
"Perfect. Bought as a gift, the recipient loved it.",5.0
"Bought this for a gift my friend loved it.  He can't wait to use the gift card!
God Bless you",4.0
Love it!!!! Thanks!!!!,5.0
Great!,5.0
Good...!!!,5.0
"This was part of a graduation gift to my son who was joining the Navy. Instead of the traditional gifts, I got him a bunch of gift cards since he can't any personal possessions with him. These cards allowed him to enjoy going out with his friends and girlfriend for that last month before leaving for boot camp.",5.0
Great item!,5.0
Bought this on a lightening deal as a gift for my friends. There's not much to say about a gift card- yay it was a great deal! $40 for a $50 gift card. Totally worth it! Thanks Amazon!,5.0
"We love Maggiano's and Macaroni Grill.  Great food, especially at Maggiano's where we do a lot of take-out.  But Maggiano's can get pricey so discounted gift cards really help out.

Obviously gift cards are primarily for gift giving, so that is really the only time you should pay full price for a gift card. When you are buying a gift card for yourself, it is really pointless unless you are getting a decent percentage off. We bought this gift card for ourselves when it was 20% off as a Lightning Deal around Christmas time which is a great price. Best bet is to keep an eye on the Lightning Deals for gift cards and see if you can snag a good deal.",5.0
they are gift cards,5.0
"Got this for a seven year old on her birthday, and she's been so excited about her bear it's crazy.  Every day she asks if she can go build her bear, but it's just been too cold.

I guess if you want to excite kids and give yourself extra work, then this is the perfect gift!",4.0
Great Gift,5.0
recipient was thrilled to receive!,5.0
great restaurant,5.0
Nice Italian restaurant,4.0
The receiver was very pleased.,5.0
Great time w/  Friends,5.0
Great item .fast shipping too,5.0
I will take a $50 gift card for $40 any day!!! Basically $10 for free. Love it.,5.0
great gift,5.0
Kids love them,5.0
Excellent Gift! Very Happy!,5.0
Great gift card,5.0
Bought for my family and they love these gift cards.,5.0
Loves it.,5.0
WAS A GREAT GIFT,5.0
Easy to use,5.0
Perfect!,5.0
Convenient!!,4.0
"The movie ticket worked on both FandangoNow and Fandango website. If you use it to buy digital movies on FandangoNow, sometimes they ran promotion with other onsite movie sponsors for a free promotional movie ticket.

Update on 6/30/2017, as this gift card only can be used without any other promo code available from Fandango, FandangoNow, or any other parties.",3.0
OK,3.0
It's a gift card. Had the exact amount on it,5.0
Christmas gift for our 14 year granddaughter. It what she hinted for!,5.0
We buy these in packs to take the grandkids to the move theater and they love deciding what they are going to watch and buying their snacks.,5.0
"A Gift Card is always a great gift, especially when you know what the person like's to do.",5.0
:),5.0
You cant ever go wrong with movies. Great christmas gift,4.0
Great gift,5.0
Got here quickly and worked,5.0
Great,5.0
Great,5.0
this was a Christmas gift,5.0
Does what a gift card should :),5.0
Love this store.,5.0
gift for daughter,5.0
The perfect gift.,5.0
Great,5.0
"Another great gift for the holidays, birthday or just a I like you gift.enjoy a movie.",5.0
happy,5.0
its' a gift card what can you say?,5.0
Great Gift Card for the Movie Buff.  My brother-in-law is going to love it.,5.0
Purchased for a gift for my parents.  Convenient and cheap since its 10 off.,5.0
I gift card that's on sale. Grabbed it as a lighting deal so that's the best way to grab them.,5.0
"I love AMC.  It is my go-to choice for movie theaters in my area.  I go to a lot of movies and I always try to find gift cards at a discount.  Even better, a few months ago, they started accepting AMC Gift Cards on the Fandango iOS App, so I get a discount and pre-ordered tickets for every move I go to (no ticket fee if you are a AMC Stubs member).

Obviously gift cards are primarily for gift giving, so that is really the only time you should pay full price for a gift card. When you are buying a gift card for yourself, it is really pointless unless you are getting a decent percentage off. We bought this gift card for ourselves when it was 20% off as a Lightning Deal around Christmas time which is a great price. Best bet is to keep an eye on the Lightning Deals for gift cards and see if you can snag a good deal.",5.0
I order AMC cards for my grandson who lives in Manhattan.. he loves movies and having a supply of these cards on hand really does help him keep up with all the latest movies... He really is a movie Buff and these cards are so helpfull for him.,5.0
This was a gift.,5.0
Great gift,5.0
My daughter loved this gift card!,5.0
Works as advertised,5.0
Great gift,5.0
Worked out great for those who you don't know what to get.,5.0
Bought As A Gift,5.0
Good Xmas gift,4.0
My nephew bday is coming and don't know what teenager whats anymore.  This is the best thing for them as they can go to movies with friends/ date or whatever ...,4.0
I will take a $50 gift card for $40 any day!!! Basically $10 for free. Love it.,5.0
:) great gift,5.0
For my teenage granddaughter who loves to shop on line. Nothing to return after Christmas and she gets the gift she really wanted. Easy on Granny too.,5.0
gift,5.0
I like this Noodles' gift card since it gives me rewards points and save my time to buy delicious food. Using the card to pay for Noodles' food is fast and convenient.,5.0
I love their food.,5.0
Received quickly and no problems!,5.0
They are gift cards.,5.0
Gave to grand nieces and nephews as well as son and daughter.  Kept one for myself.  Everyone was very pleased.  Said they had not thought of giving this as a present.  Will do again.,5.0
"Exactly as shown. No activation charge, just regular $25 gift card. I give a bunch for high school graduations to places around where theyll be going to college.",5.0
great,5.0
Exactly as I expected when I purchased it.,5.0
Its for a gift. I am sure the person receiving is going to like it.,5.0
this gift card was a little something extra for my mom for mothers' day. she loves boston market  and was thrilled to receive this gift card . she loves their food. ...thank you so much for making my shopping easy. she wanted another one so  I bought it for her...wish the gift card came in 50 75 100 . consider that boston market!!!!,5.0
As expected,5.0
"If you have family members that live far away and you want to get them something they will love and you know they will not return; this is it. Great stocking stuffer for kids of all ages!
Who does not like the movies?",5.0
Happy son in law,5.0
Nice to be able to purchase without store shopping.,5.0
Gift.,5.0
Great,5.0
GOOD GIFT FOR MY GRANDSON.,5.0
love getting 5% back buying giftcards when I use my amazon card!!,5.0
"Good buy, worked as needed.",5.0
Holiday Gift,5.0
"UPDATE: 5/31/16

After all the ""hulabaloo"" about an empty Noodles & Co. gift card, I found out from Noodles corporate office customer setvice that you CANNOT enter all the numbers on the back of the gift card to check the balance...only the last 14 numbers from the card. As it turns out, my gift card was fully loaded and ready to use.  Apparently Noodles had several complaints about the issue over the last few months because they added a special note to their gift card page...""If your gift card number has 19 digits, please only enter the last 14 digits of your card number, omitting the first 5 digits."".

**If you recently gifted a Noodles & Co. gift card, please have your giftee recheck their card balance (only enter the last 14 digits of their card number, omitting the first 5 digits) or contact Noodles directly like I did.  You won't regret either transaction.  It would be nice if AMAZON or the gift card seller would add this info to the product description to save time & money for everyone.

The web page is:  [...]

RUNNING LOW? Check your gift card balance anytime! Enter your gift card ID number found on the back of your card in the box below and click on the ""Submit"" button. If it's time to fill up, you can refuel at your neighborhood Noodles & Company.

If your gift card number has 19 digits, please only enter the last 14 digits of your card number, omitting the first 5 digits.

TIP:  Do join the eClub rewards.  You can get free food and get coupons by email.  It's worth the extra little bit of time plus you will learn about new offerings and menu changes.  I especially love the BOGO coupons.  I like to buy a salad and get a second one for the next day or share with a friend.  Gift the card another look.

NOTE: I was not compensated for my review.

===============================
Feb 2016
When I first purchased my gift card  I went online to the Noodles website and checked the balance on my NEW gift card several times and each time it said NO BALANCE.  I was very frustrated and angry.  AMAZON was kind enough the replace the card with a new one.",4.0
Very useful,5.0
fast delivery and card worked,5.0
Given as Christmas gift. She loved it!,5.0
Great gift,5.0
GREAT IDEA FOR CHRISTMAS.  THANK YOU!,5.0
Easy to use,5.0
Great product from a great seller!!!,5.0
Great purchase. The Gift card worked very good.,5.0
gift and loved it,5.0
Great Deal,5.0
They are gift cards,5.0
Love shopping and the ease of using this gift card,5.0
Grabbing a gift card as a Lighting Deal for $5 off is a great deal!,5.0
great gift,5.0
Happy grand daughter,5.0
Daughter loved it.,5.0
Good Xmas gift,4.0
one of my faves,5.0
Good food,5.0
"I ordered a bunch of gift cards and when the people went to use them, they found they didn't have anything on them. I gave my father in law some cards and other members of my family as Christmas presents!",2.0
no trip to the mall! Yay!,5.0
Gift cards are always good.,5.0
easiest way to buy gift cards - have never had a problem,5.0
Card came quick with no problems at all. It came it a small bubble wrapper. Great gift for my friend!,5.0
love getting 5% back buying giftcards when I use my amazon card!!,5.0
"Purchased as a bd gift, for a buffalo wing, eating fan. The place has an assortment of wings to chose from so you can't go wrong....",5.0
Gift Card Worked.,5.0
Works as advertised,5.0
Great gift for the daughter in law.,5.0
Bought really nice shirts with this card.,5.0
"Perfect, thank you!",5.0
Wonderful,5.0
Awesome,5.0
Pleased with purchase of card,5.0
"Christmas gift for my son-in-law. With two young children and large student loans, he and my daughter don't get to go out as often as they like. Date night on us!! And I'm happy to babysit.",5.0
"Always a good gift for the family, the college kids especially.",5.0
works great,5.0
Great product from a great seller!!!,5.0
The gift card is convenient to pay at Logan and especially a 20% discount on prime day. Logan's food is cheaper than Outback and tastes better than Applebee.,5.0
just in tome to wrap for Christmas Buffalo Wild Wings is a great place to get some good food,5.0
"& her daughter can do some mother/daughter ""bonding"" while they share an order of spicy wings & catch their favorite team Arizona cardinals play...I know they will both love this little gift!",5.0
Great gift card to use shopping for affordable cloths at JCPenny. 20% off only available on Amazon. What a great Thanksgiving purchase.,5.0
"Like any other gift card, got it and it worked.",5.0
Satisfied,5.0
fast delivery and card worked,5.0
another favorite,5.0
This worked just as it should. Would order again.,5.0
exactly what I wanted,5.0
"Good buy, worked as needed.",5.0
This is a great place to go and the food is awesome and service outstanding. I am so glad you had this product available.,4.0
What can you say it's a gift card - Shipping was fast.,5.0
Love eating at Logan's! Great gift idea as well.,5.0
"I bought this for my brother for his bday, although he hasn't used it yet I'm sure it works as expected",5.0
gave as gift,5.0
Loves it,5.0
Logan's is my favorite restaurant for steak.  Always cooked to perfection.,5.0
"How do I love thee, Oh, Logan's delicious Steak! Let me count the wonderful ways....I love thee lightly seasoned and cooked to perfection, as only Logan's Roadhouse can do.  I love thee alongside a delightful bucket of peanuts, which always await the hungry steak ordering customer right on the table. I love thee slathered with oh so delicious bourbon glaze or seasoned butter.  I love thee next to the mouth watering fresh yeast dinner rolls, which are served up hastily and a-plenteously!  I love thee, O Logan's, thou great and inexpensive Roadhouse restaurant, which beckons with delightful cowboy decor and a peanut-shell laden floor.  I love your buttery perfection you call broccoli, and I love your chicken and salmon dishes as well.

Hence, I love your most amazing $25 gift card, for which I only have to pay a mere $20.  Now, off to Logan's I go, for a meal fit for two for only $20!

I have never had a bad experience at Logan's.  The steak is always ALWAYS cooked to perfection.  Seasoned just right.  Meat-a-tarians, buy this card!!",5.0
Pleased with purchase of card,5.0
Loved it!!  Comes already to use.,5.0
Yummy,5.0
Easy to purchase -great gift,5.0
works great,5.0
Pretty good!,5.0
great,5.0
I like Amazon they always come through Red Robin is a great place to eat,5.0
"got it on time, easy to use",5.0
This was purchased for a relative by request.,5.0
good food!!,5.0
"Just like any other gift card, got it and it works fine.",5.0
This is a great way to give gifts that others can use in a moment of need. Thanks for having this gift card available.,4.0
loved it,5.0
As expected,5.0
"Getting a gift card for $20 instead of $25 is awesome.  We go to Red Robin about once or twice a month so saving $5 is like getting our drinks for free.  I like having the gift card so that we enjoy going to eat and not worrying about the bill.  It is also a great gift idea for someone and you save $5 in the process.  Win, Win",5.0
great gift,5.0
I bought this item for my niece last Christmas and she said it worked as described,5.0
Always a great present.,5.0
gifts,5.0
"I feel like Amazon should limit what can have a product review. I mean seriously, it's a gift card. I guess if you received it and got a paper cut, you may want to warn people that there is that potential hazard. Or maybe you didn't get the correct design, to which I say again, it's a gift card. You're not getting married to it. You'll most likely toss it when you're done with it. I guess there is the chance that the card is not active when you receive it, but even still, that's not the cards fault, it is the card activator person's fault..we should be able to review them and their performance...'my card's activation seemed to be a little slow, even faulty at times. Maybe the card activator person needs more training.' For the record, my card worked, no paper cut, and the design was perfect!",5.0
This was a gift and was as described.,4.0
"Exactly as shown. No activation charge, just regular $25 gift card. I give a bunch for high school graduations to places around where theyll be going to college.",5.0
"It's absolutely amazing. I bought this gift card for a $25 value and when it arrived, it had $25 credit value on it!! Can you believe it!! Nice to see a product that works these days!! And yes, I a being sarcastic!! Do we really need to rate a gift card?",5.0
Great deal during the holidays when you can get it for $40 and can be upload to your Samsung Pay device so no more lugging around a gift card.,5.0
"I got this as a gift for a friend. Since it was just what she wanted, and I have no Buffalo Wild Wings anywhere near me, I was super grateful to be able to get it delivered right to her door by Amazon! Love it!",5.0
Happy daughter,5.0
Daughter loved it.,5.0
"Delivered as expected, no complaints!",5.0
Perfect gift for someone who isn't sure what she wants -,5.0
"Item as described, arrived on time.",5.0
Nice,5.0
perfect! kathy,5.0
GREAT,5.0
"A good place for friends, and family. Adore the steak fries!",5.0
It's a gift card...,5.0
great stocking item,5.0
Great!,5.0
This again is for my husband to use for lunches when he really needs to get out of the office.,4.0
Perfect,5.0
<3,4.0
great food!!,5.0
works great.,5.0
Great gift card worked perfectly.,5.0
Love it!!!! Thanks!!!!,5.0
fast delivery and card worked,5.0
This was a gift and came just as described.,5.0
"I searched the internet for their locations and gave ones for Atlanta, Seattle, and one more.  Kept one for myself.  Will reorder these next year.  Good all round.",5.0
"Love having the gift card. It is very simple to use, was shipped quick and is hassle free!",5.0
Great!,5.0
I'm still waiting to use it. I find it great to be able to have something to use when you don't have the cash on you at the time. Thanks for having this gift card available.,5.0
It is a gift for someone,5.0
Its a gift card.,5.0
Outstanding,5.0
love it,5.0
yummy,4.0
$50 for $40 is a great deal.  Take advantage of the lightning deals when you can.  $10 saves you on 1 or 2 meals here.  Excellent value!,5.0
Great gift,5.0
no driving to the mall!,5.0
Perfect,5.0
"This item works. A little too well. I survived an additional 9 days while house hunting with one of these. Also Garlic a Fries may have played a role in doing so.
More at insta: earthen_religion",5.0
Daughter and Son in Law needed the food they are looking forward to using it,5.0
Always a great present.,5.0
"you can use this to purchase riot points and anything that uses openbucks basically.,.,",5.0
"I have a good friend I may give this to, or maybe send it to my little sister for Christmas, she has everything and is hard to shop for, maybe this and a pre paid visa card would be a great gift?",5.0
Worked as a gift card should.,5.0
Love it!,5.0
recipient was thrilled to receive!,5.0
I gift card that's on sale. Grabbed it as a lighting deal so that's the best way to grab them.,5.0
Bought this on a lightening deal as a gift for my friend. There's not much to say about a gift card- yay it was a great deal! $40 for a $50 gift card. Totally worth it! Thanks Amazon!,5.0
"Who doesn't want a card for $50 worth of Buffalo Wild Wings! Wing lovers flock here by the busload. If you don't want to use the gift card yourself, they are ideal for re-gifting! It's a win-win for all.",5.0
"yum,yum",5.0
Just what I wanted,5.0
Grabbing a gift card as a Lighting Deal for $5 off is a great deal!,5.0
Great for a gift,5.0
Always check for deals of the day. I got this $50 gift card for $40 and if you subscribe to jcpennies you can get weekly deals and coupons. I always thought of jcpennies as being expensive until I went there recently. Wow do they have good clearance. This $50 will go a long way!,5.0
Steak and Shake is always great.,5.0
Great food with great gift card. Convenient purchase on Amazon.,5.0
A much healthier option to give to kids who are away at college.,5.0
"What's to say? It's a $50 JCP gift card that I purchased on a lightning deal for $40. $10 free bucks, combined with store coupons = extra discount! I used it to get my hair done. Thanks Amazon & JCP!",5.0
Great deal,5.0
"We do a lot of shopping at JCPenney these days.  We buy a lot of stuff there, especially kids clothes.  They have nice prices on kids school uniforms so we stock up at the beginning of the school year every year.  Combining a discounted gift card with the in-store sales and coupons really saves a lot.

Obviously gift cards are primarily for gift giving, so that is really the only time you should pay full price for a gift card. When you are buying a gift card for yourself, it is really pointless unless you are getting a decent percentage off. We bought this gift card for ourselves when it was 20% off as a Lightning Deal which is a great price. Gift card discounts come up primarily during the Christmas shopping season, but this one popped up on the Deals list in May.  Best bet is to keep an eye on the Lightning Deals for gift cards and see if you can snag a good deal.",5.0
This was a great gift and an awesome place to eat with friends or family. I will choose to give this gift card for special occasions and holidays again. It was well received by all.,5.0
"Have to change it to 5 stars because the cashier helped me to exchange a new card. So Nice! Must say terrible shipping!

There is no problem on the card excepting its already damaged. I will try to use it in store to see if I need to return or exchange it",5.0
Love it!!!! Thanks!!!!,5.0
Thank you!!,5.0
was a gift,5.0
This is the best card for those who like to eat wigs and watch sports on the big screen. Be the hit of the party when you give this to the family.,4.0
good,5.0
Nice,5.0
"Works like any other gift card. Got it, it worked.",5.0
Bought this on a lightening deal as a gift for me! Love me some Red Robin. There's not much to say about a gift card- yay it was a great deal! $40 for a $50 gift card. Totally worth it! Thanks Amazon!,5.0
"We love Red Robin.  The burgers and food are great and they have a kid's menu that my kids really enjoy.  And you really can't beat the bottomless fries.

Obviously gift cards are primarily for gift giving, so that is really the only time you should pay full price for a gift card.  When you are buying a gift card for yourself, it is really pointless unless you are getting a decent percentage off.  We bought this gift card for ourselves when it was 20% off as a Lightning Deal around Christmas time which is a great price.  Best bet is to keep an eye on the Lightning Deals for gift cards and see if you can snag a good deal.",5.0
"It is what it says it is, a gift card to Subway. No problems using the card. Giving it 5 stars seems kind of silly, but I don't know that it would be fair to give it anything less.",5.0
"Red Robin has great burgers, so many to choose from. This gift card is perfect for anyone that enjoys a good burger!",5.0
"I bought this to send to my grandson in California. It is his favorite place to eat and his birthday was January9th. Hope the family has a chance to enjoy themselves at this great place. Unfortunately, we don't have them here in NJ.",5.0
"As a result, I ordered one or two as Christmas gifts.  We were not as enthralled with the restaurant. Not many here in Atlanta",3.0
This is a great gift idea for anyone in your family! Good selection of restaurant gift cards to choose from and makes a perfect gift!,5.0
Nice gift for the grandkids on any occasion.,5.0
Awesome,5.0
What can you say it's a gift card - Shipping was fast.,5.0
I gift card that's on sale. Grabbed it as a lighting deal so that's the best way to grab them.,5.0
Ok,5.0
Used this as a thank you for a young lady who did some errands for me.  She was really surprised and very grateful.,5.0
Awesome product and fast delivery!!,5.0
Outstanding,5.0
Love it,5.0
Kids love them,5.0
Subway cards is a great place to eat Amazon is a great place to shop,5.0
This gift card was a Christmas gift for a nephew.  He enjoys Subway and their selections are better than most fast food outlets.,5.0
good,5.0
"Perfect, thank you!",5.0
Buying gift cards on Amazon is a no brainer and convenient.,5.0
"If you are planning on gifting this, then the cosmetic imperfections matter. The card came with scratches on it and the backing was crumpled. The card was stuck crooked on the backing. The card is difficult to check the balance - the # is absurdly long (unlike all the other GCs I've bought recently). If you enter it wrong, the system hangs up on you! Once I managed to enter it right, after having to call it back twice, I was able to check the balance and see that the card was loaded.",2.0
"Pastrami yum
Happy holidays",5.0
yummy,5.0
"Received this gift card for $20 during a lightning deal.  I know many people are down on Panda Express because it is not ""authentic"" Chinese food but I like the food and this gift card helps purchase some when my funds are a little low.  I buy the gift cards and use them when we normally go or will use them when money is tight right before payday.  The lightning deals are great and will save you between $5 and $20 depending on how much you spend.",5.0
My girlfriend enjoyed it.,5.0
used it next day,5.0
Good,5.0
Nice one~ I will buy a higher price card,5.0
Can't go wrong with a food gift card. Given to one who enjoys Panda Express!,5.0
Great!,5.0
